stage_name,member_name,filename,relative_path,dtype,numel,shape,source_key,note
embed_weight_mag,conv1_w,conv1_w.bin,embed_weight_mag/conv1_w.bin,int8,72,8x1x3x3,patch_embed_mag.0.weight_int8,as stored (no refold)
embed_weight_mag,conv1_w_quant_scale,conv1_w_quant_scale.bin,embed_weight_mag/conv1_w_quant_scale.bin,float32,1,1,patch_embed_mag.0.a_scale,per-tensor a_scale*a_scale_mul
embed_weight_mag,conv1_w_dequant_scale,conv1_w_dequant_scale.bin,embed_weight_mag/conv1_w_dequant_scale.bin,float32,8,8,patch_embed_mag.0.w_scale,per-OC; int32 acc -> f32
embed_weight_mag,conv1_b_i32,conv1_b_i32.bin,embed_weight_mag/conv1_b_i32.bin,int32,8,8,patch_embed_mag.0.bias,round(bias_f32 / dequant_scale)
embed_weight_mag,norm1_w,norm1_w.bin,embed_weight_mag/norm1_w.bin,float32,8,8,patch_embed_mag.2.weight,
embed_weight_mag,norm1_b,norm1_b.bin,embed_weight_mag/norm1_b.bin,float32,8,8,patch_embed_mag.2.bias,
embed_weight_mag,conv2_w,conv2_w.bin,embed_weight_mag/conv2_w.bin,int8,1152,16x8x3x3,patch_embed_mag.5.weight_int8,"act scale folded, requantized per OC"
embed_weight_mag,conv2_w_quant_scale,conv2_w_quant_scale.bin,embed_weight_mag/conv2_w_quant_scale.bin,float32,8,8,patch_embed_mag.5.a_scale,sq_s*a_scale*a_scale_mul
embed_weight_mag,conv2_w_dequant_scale,conv2_w_dequant_scale.bin,embed_weight_mag/conv2_w_dequant_scale.bin,float32,16,16,patch_embed_mag.5.w_scale,per-OC; int32 acc -> f32
embed_weight_mag,conv2_b_i32,conv2_b_i32.bin,embed_weight_mag/conv2_b_i32.bin,int32,16,16,patch_embed_mag.5.bias,round(bias_f32 / dequant_scale)
embed_weight_mag,norm2_w,norm2_w.bin,embed_weight_mag/norm2_w.bin,float32,16,16,patch_embed_mag.7.weight,
embed_weight_mag,norm2_b,norm2_b.bin,embed_weight_mag/norm2_b.bin,float32,16,16,patch_embed_mag.7.bias,
embed_weight_pha,conv1_w,conv1_w.bin,embed_weight_pha/conv1_w.bin,int8,72,8x1x3x3,patch_embed_phase.0.weight_int8,as stored (no refold)
embed_weight_pha,conv1_w_quant_scale,conv1_w_quant_scale.bin,embed_weight_pha/conv1_w_quant_scale.bin,float32,1,1,patch_embed_phase.0.a_scale,per-tensor a_scale*a_scale_mul
embed_weight_pha,conv1_w_dequant_scale,conv1_w_dequant_scale.bin,embed_weight_pha/conv1_w_dequant_scale.bin,float32,8,8,patch_embed_phase.0.w_scale,per-OC; int32 acc -> f32
embed_weight_pha,conv1_b_i32,conv1_b_i32.bin,embed_weight_pha/conv1_b_i32.bin,int32,8,8,patch_embed_phase.0.bias,round(bias_f32 / dequant_scale)
embed_weight_pha,norm1_w,norm1_w.bin,embed_weight_pha/norm1_w.bin,float32,8,8,patch_embed_phase.2.weight,
embed_weight_pha,norm1_b,norm1_b.bin,embed_weight_pha/norm1_b.bin,float32,8,8,patch_embed_phase.2.bias,
embed_weight_pha,conv2_w,conv2_w.bin,embed_weight_pha/conv2_w.bin,int8,1152,16x8x3x3,patch_embed_phase.5.weight_int8,"act scale folded, requantized per OC"
embed_weight_pha,conv2_w_quant_scale,conv2_w_quant_scale.bin,embed_weight_pha/conv2_w_quant_scale.bin,float32,8,8,patch_embed_phase.5.a_scale,sq_s*a_scale*a_scale_mul
embed_weight_pha,conv2_w_dequant_scale,conv2_w_dequant_scale.bin,embed_weight_pha/conv2_w_dequant_scale.bin,float32,16,16,patch_embed_phase.5.w_scale,per-OC; int32 acc -> f32
embed_weight_pha,conv2_b_i32,conv2_b_i32.bin,embed_weight_pha/conv2_b_i32.bin,int32,16,16,patch_embed_phase.5.bias,round(bias_f32 / dequant_scale)
embed_weight_pha,norm2_w,norm2_w.bin,embed_weight_pha/norm2_w.bin,float32,16,16,patch_embed_phase.7.weight,
embed_weight_pha,norm2_b,norm2_b.bin,embed_weight_pha/norm2_b.bin,float32,16,16,patch_embed_phase.7.bias,
pvss_ds_weight_enc0_mag,ssm_in_norm_w,ssm_in_norm_w.bin,pvss_ds_weight_enc0_mag/ssm_in_norm_w.bin,float32,16,16,layers_encoder_mag.0.blocks.0.norm.weight,
pvss_ds_weight_enc0_mag,ssm_in_norm_b,ssm_in_norm_b.bin,pvss_ds_weight_enc0_mag/ssm_in_norm_b.bin,float32,16,16,layers_encoder_mag.0.blocks.0.norm.bias,
pvss_ds_weight_enc0_mag,ssm_in_projection_w,ssm_in_projection_w.bin,pvss_ds_weight_enc0_mag/ssm_in_projection_w.bin,int8,4,4x1,layers_encoder_mag.0.blocks.0.ss2d.in_proj.weight_int8,as stored (no refold)
pvss_ds_weight_enc0_mag,ssm_in_projection_w_quant_scale,ssm_in_projection_w_quant_scale.bin,pvss_ds_weight_enc0_mag/ssm_in_projection_w_quant_scale.bin,float32,1,1,layers_encoder_mag.0.blocks.0.ss2d.in_proj.a_scale,per-tensor a_scale*a_scale_mul
pvss_ds_weight_enc0_mag,ssm_in_projection_w_dequant_scale,ssm_in_projection_w_dequant_scale.bin,pvss_ds_weight_enc0_mag/ssm_in_projection_w_dequant_scale.bin,float32,4,4,layers_encoder_mag.0.blocks.0.ss2d.in_proj.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc0_mag,ssm_dw_conv2d_w,ssm_dw_conv2d_w.bin,pvss_ds_weight_enc0_mag/ssm_dw_conv2d_w.bin,int8,18,2x3x3,layers_encoder_mag.0.blocks.0.ss2d.conv2d.weight_int8,as stored (no refold)
pvss_ds_weight_enc0_mag,ssm_dw_conv2d_w_quant_scale,ssm_dw_conv2d_w_quant_scale.bin,pvss_ds_weight_enc0_mag/ssm_dw_conv2d_w_quant_scale.bin,float32,2,2,layers_encoder_mag.0.blocks.0.ss2d.conv2d.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc0_mag,ssm_dw_conv2d_w_dequant_scale,ssm_dw_conv2d_w_dequant_scale.bin,pvss_ds_weight_enc0_mag/ssm_dw_conv2d_w_dequant_scale.bin,float32,2,2,layers_encoder_mag.0.blocks.0.ss2d.conv2d.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc0_mag,ssm_dw_conv2d_b_i32,ssm_dw_conv2d_b_i32.bin,pvss_ds_weight_enc0_mag/ssm_dw_conv2d_b_i32.bin,int32,2,2,layers_encoder_mag.0.blocks.0.ss2d.conv2d.bias,round(bias_f32 / dequant_scale)
pvss_ds_weight_enc0_mag,ssm_dw_conv1d_w,ssm_dw_conv1d_w.bin,pvss_ds_weight_enc0_mag/ssm_dw_conv1d_w.bin,float32,24,12x2,layers_encoder_mag.0.blocks.0.ss2d.x_proj_conv.weight,
pvss_ds_weight_enc0_mag,ssm_dt_projection_w,ssm_dt_projection_w.bin,pvss_ds_weight_enc0_mag/ssm_dt_projection_w.bin,float32,8,8x1,layers_encoder_mag.0.blocks.0.ss2d.dt_proj_conv.weight,
pvss_ds_weight_enc0_mag,ssm_A,ssm_A.bin,pvss_ds_weight_enc0_mag/ssm_A.bin,float32,8,8x1,layers_encoder_mag.0.blocks.0.ss2d.A_logs,A = -exp(A_logs)
pvss_ds_weight_enc0_mag,ssm_Ds,ssm_Ds.bin,pvss_ds_weight_enc0_mag/ssm_Ds.bin,float32,8,8,layers_encoder_mag.0.blocks.0.ss2d.Ds,
pvss_ds_weight_enc0_mag,ssm_delta_bias,ssm_delta_bias.bin,pvss_ds_weight_enc0_mag/ssm_delta_bias.bin,float32,8,8,layers_encoder_mag.0.blocks.0.ss2d.dt_projs_bias,
pvss_ds_weight_enc0_mag,ssm_out_norm_w,ssm_out_norm_w.bin,pvss_ds_weight_enc0_mag/ssm_out_norm_w.bin,float32,2,2,layers_encoder_mag.0.blocks.0.ss2d.out_norm.weight,
